timestamp,moisture,temp
0,31,45
1000,13,25
2000,47,29
3000,53,27
4000,52,28
5000,12,36
6000,11,35
7000,60,42
8000,42,36
9000,8,30
10000,62,46
11000,4,28
12000,10,44
13000,64,46
14000,54,36
15000,46,40
16000,35,29
17000,56,28
18000,24,30
19000,17,39
20000,4,28
21000,40,44
22000,4,34
23000,65,25
24000,56,36
25000,65,35
26000,47,45
27000,7,31
28000,43,25
29000,6,26
30000,40,42
31000,50,32
32000,25,31
33000,42,46
34000,57,37
35000,46,44
36000,49,31
37000,49,35
38000,8,42
39000,60,42
40000,17,41
41000,21,45
42000,51,35
43000,8,46
44000,19,43
45000,44,26
46000,5,33
47000,46,38
48000,2,46
49000,60,44
50000,9,25
51000,55,41
52000,21,25
53000,10,44
54000,41,25
55000,47,33
56000,36,38
57000,12,28
58000,21,31
59000,45,31
60000,61,25
61000,46,42
62000,44,28
63000,41,45
64000,16,38
65000,28,42
66000,52,32
67000,33,37
68000,15,41
69000,50,30
70000,17,37
71000,45,25
72000,45,39
73000,51,33
74000,25,25
75000,29,29
76000,6,30
77000,23,33
78000,60,28
79000,29,43
80000,45,35
81000,50,26
82000,14,28
83000,49,33
84000,4,28
85000,57,41
86000,5,29
87000,36,30
88000,6,42
89000,2,38
90000,77,27
91000,15,33
92000,57,39
93000,22,32
94000,67,29
95000,4,30
96000,20,26
97000,2,44
98000,37,41
99000,37,27
100000,16,26
101000,61,43
102000,35,41
103000,27,25
104000,53,35
105000,43,35
106000,12,28
107000,20,40
108000,22,32
109000,32,32
110000,30,44
111000,37,31
112000,27,29
113000,7,45
114000,23,27
115000,41,25
116000,27,43
117000,4,28
118000,38,38
119000,59,37
120000,47,33
121000,48,30
122000,51,43
123000,39,33
124000,19,25
125000,31,35
126000,42,46
127000,9,25
128000,5,31
129000,77,37
130000,23,25
131000,20,46
132000,30,44
133000,33,25
134000,55,29
135000,55,35
136000,58,42
137000,25,29
138000,67,37
139000,50,38
140000,78,38
141000,13,27
142000,17,37
143000,31,35
144000,4,38
145000,23,37
146000,44,34
147000,41,45
148000,3,33
149000,48,40
150000,20,38
151000,63,43
152000,26,30
153000,30,42
154000,19,37
155000,34,28
156000,6,26
157000,50,30
158000,7,35
159000,10,32
160000,39,27
161000,56,30
162000,44,46
163000,38,42
164000,33,39
165000,59,41
166000,25,25
167000,57,37
168000,22,42
169000,51,31
170000,51,31
171000,29,39
172000,4,40
173000,37,43
174000,18,42
175000,54,30
176000,35,29
177000,1,37
178000,7,27
179000,35,37
180000,8,32
181000,18,32
182000,12,38
183000,17,37
184000,31,37
185000,41,39
186000,15,41
187000,32,40
188000,34,38
189000,12,34
190000,60,32
191000,53,35
192000,61,31
193000,22,26
194000,11,33
195000,69,33
196000,14,38
197000,62,46
198000,43,25
199000,32,36
200000,3,33
201000,22,46
202000,64,44
203000,62,36
204000,64,44
205000,2,42
206000,22,42
207000,50,30
208000,65,27
209000,11,41
210000,28,32
211000,34,38
212000,15,39
213000,69,33
214000,47,29
215000,51,31
216000,10,30
217000,33,33
218000,18,40
219000,12,36
220000,35,39
221000,26,46
222000,15,31
223000,6,30
224000,56,38
225000,15,35
226000,8,46
227000,36,40
228000,16,30
229000,40,38
230000,36,38
231000,57,29
232000,47,29
233000,55,35
234000,24,26
235000,14,34
236000,55,37
237000,49,33
238000,7,29
239000,59,41
240000,46,30
241000,1,27
242000,15,45
243000,16,36
244000,61,41
245000,28,36
246000,16,40
247000,40,34
248000,37,29
249000,28,32
250000,55,37
251000,42,46
252000,1,45
253000,53,37
254000,48,46
255000,49,31
256000,67,39
257000,4,36
258000,41,45
259000,3,27
260000,46,32
261000,19,39
262000,25,33
263000,13,31
264000,3,45
265000,2,40
266000,54,34
267000,35,35
268000,62,26
269000,11,41
270000,42,36
271000,22,44
272000,7,31
273000,42,46
